 ,Linea,Cod Familia,Familia,Cod Producto,Producto,Cod Color,Familia Color,COD SKU PT,UM,Doc x Paq,Doc X bulto,PESO g.,Precio Estimado, Precio Sin IGV , Indicador x kg. ,Status,Codigo Barra,Marca,Nombre GS1,OBS
1,HOGAR,14,PACKS,225,PACK: ESCOLAR MIXTO 550ML. + 300ML.,5,Varios,11422505,DOC,5,10,66,40,33.9,10.7,ALTA,,,,
1,HOGAR,14,PACKS,226,PACK: ESCOLAR MIXTO AVENTURA 550ML + 350ML.,5,Varios,11422605,DOC,5,10,66,40,33.9,10.7,ALTA,,,,
1,HOGAR,19,CESTAS,227,CANASTA PICKNIC PASTEL,2,Pastel,11922702,DOC,5,10,234,90,76.27,6.79,ALTA,7.76E+12,,,
1,HOGAR,19,CESTAS,228,FRUTERO CORONITA PASTEL,2,Pastel,11922802,DOC,20,40,72,36,30.51,8.83,ALTA,7.76E+12,,,
1,HOGAR,11,ENVASES,229,LAVACUELA PASTEL,2,Pastel,11122902,DOC,10,20,100,36,30.51,6.36,ALTA,,,,
1,HOGAR,11,ENVASES,230,CAJA MULTIUSO #20 CARAMELO,1,Caramelo,11123001,UNID,24,48,980,20,16.95,0.36,ALTA,,,,
1,HOGAR,11,ENVASES,231,CAJA MULTIUSO #20 TRANSP.,4,Transparente,11123104,UNID,24,48,980,20,16.95,0.36,ALTA,,,,
1,HOGAR,14,PACKS,232,PACK:PORTAVAJILLA + PORTA ACCESORIO PASTEL,2,Pastel,11423202,DOC,1,2,"1,036.00",312,264.41,5.32,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,233,SPORT BOTTLE CLICK CRISTAL 300ML.,5,Varios,11623305,DOC,10,40,60,34,28.81,10,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,234,SPORT BOTTLE CLICK CRISTAL 350ML.,5,Varios,11623405,DOC,10,40,60,36,30.51,10.59,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,235,SPORT BOTTLE CLICK CRISTAL 450ML.,5,Varios,11623505,DOC,10,40,60,40,33.9,11.77,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,236,SPORT BOTTLE CLICK CRISTAL 750ML.,5,Varios,11623605,DOC,10,40,60,50,42.37,14.71,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,237,SPORT BOTTLE CLICK AVENTURA 350ML.,5,Varios,11623705,DOC,10,40,60,32,27.12,9.42,ALTA,,,,
